type_id,group_id,category_id,name
0,0,0,#System
2,2,1,Corporation
3,3,2,Region
4,4,2,Constellation
5,5,2,Solar System
6,6,2,Sun G5 (Yellow)
7,6,2,Sun K7 (Orange)
8,6,2,Sun K5 (Red Giant)
9,6,2,Sun B0 (Blue)
10,6,2,Sun F0 (White)
11,7,2,Planet (Temperate)
12,7,2,Planet (Ice)
13,7,2,Planet (Gas)
14,8,2,Moon
15,9,2,Asteroid Belt
16,10,2,Stargate (Caldari System)
17,10,2,Stargate (Amarr Constellation)
18,458,25,Plagioclase
19,461,25,Spodumain
20,457,25,Kernite
21,454,25,Hedbergite
22,450,25,Arkonor
23,12,2,Cargo Container
24,13,2,Ring
25,14,2,Corpse Male
26,16,3,Office Folder
27,16,3,Office
28,16,3,Factory Folder
29,17,4,Credits
30,19,1,Faction
34,18,4,Tritanium
35,18,4,Pyerite
36,18,4,Mexallon
37,18,4,Isogen
38,18,4,Nocxium
39,18,4,Zydrine
40,18,4,Megacyte
41,280,17,Garbage
42,280,17,Spiced Wine
43,280,17,Antibiotics
44,1034,43,Enriched Uranium
45,281,17,Frozen Plant Seeds
49,24,5,Player Kill
50,24,5,Company Shares
51,24,5,Bookmark
52,94,10,Trading
53,95,10,Trade Session
54,15,3,Caldari Logistics Station
56,15,3,Gallente Military Station
57,15,3,Gallente Station Hub
58,15,3,C-O-1
59,15,3,C-O-2
60,1319,29,Asset Safety Wrap
164,23,5,Clone Grade Alpha
165,23,5,Clone Grade Beta
166,23,5,Clone Grade Gamma
178,83,8,Carbonized Lead S
179,83,8,Nuclear S
180,83,8,Proton S
181,83,8,Depleted Uranium S
182,83,8,Titanium Sabot S
183,83,8,Fusion S
184,83,8,Phased Plasma S
185,83,8,EMP S
186,83,8,Carbonized Lead M
187,83,8,Nuclear M
188,83,8,Proton M
189,83,8,Depleted Uranium M
190,83,8,Titanium Sabot M
191,83,8,Fusion M
192,83,8,Phased Plasma M
193,83,8,EMP M
194,83,8,Carbonized Lead L
195,83,8,Nuclear L
196,83,8,Proton L
197,83,8,Depleted Uranium L
198,83,8,Titanium Sabot L
199,83,8,Fusion L
200,83,8,Phased Plasma L
201,83,8,EMP L
202,386,8,Mjolnir Cruise Missile
203,386,8,Scourge Cruise Missile
204,386,8,Inferno Cruise Missile
205,386,8,Nova Cruise Missile
206,385,8,Nova Heavy Missile
207,385,8,Mjolnir Heavy Missile
208,385,8,Inferno Heavy Missile
209,385,8,Scourge Heavy Missile
210,384,8,Scourge Light Missile
211,384,8,Inferno Light Missile
212,384,8,Mjolnir Light Missile
213,384,8,Nova Light Missile
215,85,8,Iron Charge S
216,85,8,Tungsten Charge S
217,85,8,Iridium Charge S
218,85,8,Lead Charge S
219,85,8,Thorium Charge S
220,85,8,Uranium Charge S
221,85,8,Plutonium Charge S
222,85,8,Antimatter Charge S
223,85,8,Iron Charge M
224,85,8,Tungsten Charge M
225,85,8,Iridium Charge M
226,85,8,Lead Charge M
227,85,8,Thorium Charge M
228,85,8,Uranium Charge M
229,85,8,Plutonium Charge M
230,85,8,Antimatter Charge M
231,85,8,Iron Charge L
232,85,8,Tungsten Charge L
233,85,8,Iridium Charge L
234,85,8,Lead Charge L
235,85,8,Thorium Charge L
236,85,8,Uranium Charge L
237,85,8,Plutonium Charge L
238,85,8,Antimatter Charge L
239,86,8,Radio S
240,86,8,Microwave S
241,86,8,Infrared S
242,86,8,Standard S
243,86,8,Ultraviolet S
244,86,8,Xray S
245,86,8,Gamma S
246,86,8,Multifrequency S
247,86,8,Radio M
248,86,8,Microwave M
249,86,8,Infrared M
250,86,8,Standard M
251,86,8,Ultraviolet M
252,86,8,Xray M
253,86,8,Gamma M
254,86,8,Multifrequency M
255,86,8,Radio L
256,86,8,Microwave L
257,86,8,Infrared L
258,86,8,Standard L
259,86,8,Ultraviolet L
260,86,8,Xray L
261,86,8,Gamma L
262,86,8,Multifrequency L
263,87,8,Cap Booster 25
264,87,8,Cap Booster 50
265,1158,8,Heavy Defender Missile I
266,387,8,Scourge Rocket
267,89,8,Scourge Torpedo
269,394,8,Mjolnir Auto-Targeting Light Missile I
270,92,8,Python Mine
377,38,7,Small Shield Extender I
380,38,7,Small Shield Extender II
393,39,7,Shield Recharger I
394,39,7,Shield Recharger II
399,40,7,Small Shield Booster I
400,40,7,Small Shield Booster II
405,41,7,'Micro' Remote Shield Booster
406,41,7,Micro Remote Shield Booster II
421,43,7,'Basic' Capacitor Recharger
434,46,7,5MN Microwarpdrive I
438,46,7,1MN Afterburner II
439,46,7,1MN Afterburner I
440,46,7,5MN Microwarpdrive II
442,47,7,Cargo Scanner I
443,48,7,Ship Scanner I
444,49,7,Survey Scanner I
447,52,7,Warp Scrambler I
448,52,7,Warp Scrambler II
450,53,7,Gatling Pulse Laser I
451,53,7,Dual Light Pulse Laser I
452,53,7,Dual Light Beam Laser I
453,53,7,Small Focused Pulse Laser I
454,53,7,Small Focused Beam Laser I
455,53,7,Quad Light Beam Laser I
456,53,7,Focused Medium Pulse Laser I
457,53,7,Focused Medium Beam Laser I
458,53,7,Heavy Pulse Laser I
